,title,genres
256,The White Helmets,"documentary,crime"
257,Defiance,"action-and-adventure,drama,history,thriller,mystery"
258,Chasing Coral,documentary
259,The Perfection,"drama,horror,thriller"
260,The Wolf's Call,"thriller,drama,action-and-adventure,science-fiction,mystery"
261,Ace Ventura: Pet Detective,"comedy,mystery,thriller"
262,Blood Father,"action-and-adventure,independent,thriller,crime,drama,mystery"
263,The End of the Tour,"drama,biography"
264,Dave Chappelle: Sticks & Stones,"comedy,stand-up-and-talk,documentary"
265,Rush: Beyond the Lighted Stage,"documentary,biography,musical"
266,Suburra,"crime,drama,thriller,mystery"
267,Ip Man 3,"action-and-adventure,biography,drama,history"
268,Yes Man,"comedy,romance"
269,The Death of Mr. Lazarescu,"drama,comedy"
270,My Week with Marilyn,"biography,drama"
271,Get Him to the Greek,"comedy,musical,action-and-adventure"
272,Private Life,"comedy,drama"
273,Secret Superstar,"drama,family"
274,Richard Pryor: Live in Concert,"comedy,documentary"
275,The Meyerowitz Stories (New and Selected),"comedy,drama"
276,Inequality for All,documentary
277,20 Feet from Stardom,"documentary,history,biography,musical"
278,John Mulaney: Kid Gorgeous at Radio City,"comedy,stand-up-and-talk"
279,Goon,"comedy,sport,drama"
280,For the Love of Spock,"documentary,biography,action-and-adventure"
281,Under the Skin,"drama,science-fiction,thriller,horror,mystery"
282,The Polar Express,"animation,action-and-adventure,family,comedy,fantasy,musical"
283,The Battered Bastards of Baseball,"documentary,sport"
284,Terminator 3: Rise of the Machines,"action-and-adventure,science-fiction,mystery,thriller"
285,Creep 2,"horror,thriller,mystery"
286,Olympus Has Fallen,"action-and-adventure,thriller,mystery,drama"
287,Guru,"biography,drama,musical,documentary,history,romance"
288,Legend,"biography,crime,drama,thriller,mystery,horror,comedy"
289,"What Happened, Miss Simone?","documentary,musical,biography"
290,Twister,"action-and-adventure,drama,thriller,mystery"
291,Supersonic,"documentary,biography,musical"
292,Code 8,"science-fiction,action-and-adventure,crime,drama,thriller"
293,9,"animation,action-and-adventure,drama,family,horror,mystery,science-fiction,thriller"
294,The Pixar Story,documentary
295,Tell Me Who I Am,"documentary,drama,mystery,thriller"
296,The Edge of Democracy,"documentary,history"
297,Zack and Miri Make a Porno,"comedy,romance"
298,Boy & the World,"animation,action-and-adventure,family,science-fiction"
299,Crip Camp: A Disability Revolution,documentary
300,Undefeated,"documentary,sport"
301,Hey Arnold! The Jungle Movie,"animation,action-and-adventure,comedy,family,fantasy"
302,The Highwaymen,"crime,drama,thriller,biography,mystery"
303,Catfish,"documentary,drama,mystery,thriller"
304,Unrest,"documentary,drama,history,romance"
305,Remember,"drama,thriller,mystery"
306,Child's Play,"horror,mystery,thriller"
307,Obvious Child,"comedy,independent,drama,romance"
308,The Spiderwick Chronicles,"action-and-adventure,family,fantasy,drama"
309,Hancock,"action-and-adventure,fantasy,crime,drama"
310,April and the Extraordinary World,"animation,action-and-adventure,comedy,drama,family,mystery,science-fiction,thriller,fantasy"
311,A Shaun the Sheep Movie: Farmageddon,"comedy,animation,family,action-and-adventure,fantasy,science-fiction"
312,"Hail, Caesar!","comedy,drama,musical,mystery,thriller"
313,A Twelve-Year Night,"drama,crime,history"
314,1922,"crime,drama,horror,mystery,thriller"
315,Louis C.K. 2017,"comedy,stand-up-and-talk,documentary"
316,Team Foxcatcher,"documentary,biography,crime"
317,22 July,"drama,history,thriller,crime,mystery"
318,Creep,"comedy,horror,thriller,mystery"
319,Last Breath,documentary
320,American Honey,"drama,romance,action-and-adventure"
321,The Angry Birds Movie 2,"animation,comedy,action-and-adventure,family"
322,Den of Thieves,"action-and-adventure,crime,drama,mystery,thriller"
323,Happy as Lazzaro,drama
324,Paddleton,"drama,comedy"
325,Circus of Books,"documentary,lgbtq,biography"
326,Udta Punjab,"crime,drama,thriller,action-and-adventure"
327,Blue Jay,"drama,romance"
328,The Witch: Part 1. The Subversion,"action-and-adventure,mystery"
329,Candyman,"drama,horror,mystery,thriller"
330,Awe!,"science-fiction,thriller,romance,action-and-adventure,drama"
331,Mirai,"animation,anime,fantasy,action-and-adventure,family,drama"
