,title,type,release_year,rating,runtime,description,genres,cast,director,country,imdb_link,date_added
3285,The Nutcracker and the Four Realms,movie,2018,PG,99 min,"When her late mother gifts her a key, Clara embarks on a dreamlike journey full of fantasy and conflict in this retelling of the holiday classic.",Children & Family Movies,"Mackenzie Foy,Keira Knightley,Helen Mirren,Morgan Freeman,Matthew Macfadyen,Eugenio Derbez,Miranda Hart,Jack Whitehall,Ellie Bamber,Richard E. Grant,Omid Djalili,Tom Sweet,Misty Copeland,Sergei Polunin,Meera Syal","Lasse Hallström,Joe Johnston",United States,https://www.imdb.com/title/tt5523010/?ref_=plg_rt_1,"Added to Netflix:May 28, 2019"
3286,The Oath,movie,2016,TV-MA,104 min,The ordered life of a Reykjavik heart surgeon unravels when his daughter descends into a life of drugs and crime thanks to a sinister boyfriend.,"Action & Adventure,International Movies","Baltasar Kormákur,Hera Hilmar,Gísli Örn Garðarsson,Ingvar Eggert Sigurðsson,Margret Bjarnadottir,Gudrun Sesselja Arnardottir,Sigrún Edda Björnsdóttir,Joi Johannsson,Þorsteinn Bachmann",Baltasar Kormákur,Iceland,https://www.imdb.com/title/tt4433890/?ref_=plg_rt_1,"Added to Netflix:December 8, 2017"
3287,The Old Thieves: The Legend of Artegios,movie,2007,TV-MA,97 min,"While carrying out prison sentences, five notorious thieves in Mexico City share their principles, preferred methods and respect for the craft.","Documentaries,International Movies",,Everardo González,,,"Added to Netflix:November 1, 2019"
3288,The One I Love,movie,2014,R,91 min,"Confronted with the potential end of their marriage, Ethan and Sophie take off for a weekend together, hoping to negotiate their future.","Comedies,Dramas,Independent Movies","Mark Duplass,Elisabeth Moss,Ted Danson",Charlie McDowell,United States,https://www.imdb.com/title/tt2756032/?ref_=plg_rt_1,"Added to Netflix:May 30, 2019"
3289,The Only Mother To You All,movie,2008,TV-PG,106 min,"Raising her large family alone after her husband's death, Ina searches for work and finally lands the most unlikely job: president of the Philippines.","Comedies,International Movies","Ai-Ai de las Alas,Shaina Magdayao,Carlo Aquino,Alwyn Uytingco,Eugene Domingo,Deejay Durano,Serena Dalrymple,Jiro Manio,Yuki Kadooka,Cherry Pie Picache,Gloria Diaz",Wenn V. Deramas,Philippines,https://www.imdb.com/title/tt1099228/?ref_=plg_rt_1,"Added to Netflix:February 27, 2019"
3290,The Open House,movie,2018,TV-MA,95 min,"Following a tragedy, a mother and her teen son move to a relative's vacant vacation home, where eerie and unexplained forces conspire against them.","Horror Movies,Thrillers","Dylan Minnette,Piercey Dalton,Patricia Bethune,Sharif Atkins,Aaron Abrams,Edward Olson,Katie Walder,Paul Rae","Matt Angel,Suzanne Coote",United States,https://www.imdb.com/title/tt7608028/?ref_=plg_rt_1,"Added to Netflix:January 19, 2018"
3291,The Other,movie,1999,TV-MA,106 min,"When a graduate student elopes with a plucky reporter, his wealthy, possessive mother connives with his militant brother-in-law to wreck the union.","Dramas,International Movies,Romantic Movies","Nabila Ebeid,Mahmoud Hemeida,Hanan Turk,Hani Salama,Lebleba,Hassan Abdel Hamid,Ezzat Abou Aouf,Ahmed Fouad Selim,Amr Saad,Ahmad Wafiq",Youssef Chahine,"France,Egypt",https://www.imdb.com/title/tt0196355/?ref_=plg_rt_1,"Added to Netflix:May 29, 2020"
3292,The Other Guys,movie,2010,PG-13,108 min,New York cops Allen and Terry toil in obscurity as lowly desk jockeys until a big break finally gives them a chance to tackle real police work.,"Action & Adventure,Comedies","Will Ferrell,Mark Wahlberg,Eva Mendes,Michael Keaton,Steve Coogan,Ray Stevenson,Samuel L. Jackson,Dwayne Johnson,Lindsay Sloane,Natalie Zea",Adam McKay,United States,https://www.imdb.com/title/tt1386588/?ref_=plg_rt_1,"Added to Netflix:February 1, 2020"
3293,The Other One: The Long Strange Trip of Bob Weir,movie,2015,TV-14,84 min,This chronicle of Bob Weir highlights his brotherhood with Jerry Garcia and his success as a member of one of the world's most influential bands.,"Documentaries,Music & Musicals",Bob Weir,Mike Fleiss,United States,https://www.imdb.com/title/tt3692768/?ref_=plg_rt_1,"Added to Netflix:May 22, 2015"
3294,The Other Side of the Wind,movie,2018,R,122 min,"On the last day of his life, a legendary director struggles to complete a new project and contemplates his legacy in this layered film by Orson Welles.","Classic Movies,Dramas,Independent Movies","John Huston,Oja Kodar,Peter Bogdanovich,Susan Strasberg,Robert Random,Lilli Palmer,Norman Foster,Edmond O'Brien,Mercedes McCambridge,Cameron Mitchell,Paul Stewart",Orson Welles,"France,Iran,United States",https://www.imdb.com/title/tt0069049/?ref_=plg_rt_1,"Added to Netflix:November 2, 2018"
3295,The Outcasts,movie,2017,PG-13,94 min,"After failing to strike a truce with their school's queen bee, two misfit best friends lead a nerd uprising that turns social hierarchy on its head.",Comedies,"Victoria Justice,Eden Sher,Ashley Rickards,Claudia Lee,Katie Chang,Peyton List,Jazmyn Richardson,Avan Jogia,Will Peltz",Peter Hutchings,United States,https://www.imdb.com/title/tt2597760/?ref_=plg_rt_1,"Added to Netflix:August 14, 2017"
