,title,type,release_year,rating,runtime,description,genres,cast,director,country,imdb_link,date_added
1040,Peaky Blinders,tvshow,2019,TV-MA,5 Seasons,"A notorious gang in 1919 Birmingham, England, is led by the fierce Tommy Shelby, a crime boss set on moving up in the world no matter the cost.","British TV Shows,Crime TV Shows,International TV Shows","Cillian Murphy,Sam Neill,Helen McCrory,Paul Anderson,Iddo Goldberg,Annabelle Wallis,Sophie Rundle,Tom Hardy,Joe Cole,Ned Dennehy,Andy Nyman,Charlie Creed-Miles,Charlotte Riley,David Dawson,Jeffrey Postlethwaite,Matthew Postlethwaite,Ian Peck,Tony Pitts,Aidan Gillen,Adrien Brody,Charlie Murphy,Aimee-Ffion Edwards",,United Kingdom,https://www.imdb.com/title/tt2442560/?ref_=plg_rt_1,"New Season Added:October 4, 2019"
1041,Peasants Rebellion,tvshow,2018,TV-14,1 Season,"In feudalistic Lebanon, farmers revolt against the nobility under the leadership of a revolutionary figure who champions the oppressed.","International TV Shows,TV Dramas","Ward El Kal,Aimée Sayah,Bassem Moughnie,Carlos Azar,Sara Abi Kanaan,Wesam Hanna",,Lebanon,https://www.imdb.com/title/tt9011036/?ref_=plg_rt_1,"Added to Netflix:April 1, 2019"
1042,Pee-wee's Playhouse,tvshow,1990,TV-PG,5 Seasons,"Pee-wee Herman brings his stage show to the masses with this innovative live-action kids series that invites viewers into his quirky, childlike world.","Classic & Cult TV,Kids' TV,TV Comedies",Paul Reubens,,United States,https://www.imdb.com/title/tt0090500/?ref_=plg_rt_1,"New Season Added:December 18, 2014"
1043,Penny Dreadful,tvshow,2016,TV-MA,3 Seasons,"The classic tales of Dracula, Frankenstein, Dorian Gray and more are woven together in this horror series set on the dark streets of Victorian London.","TV Dramas,TV Horror,TV Mysteries","Josh Hartnett,Eva Green,Timothy Dalton,Reeve Carney,Rory Kinnear,Billie Piper,Danny Sapani,Harry Treadaway",,"Ireland,United Kingdom,United States",https://www.imdb.com/title/tt2628232/?ref_=plg_rt_1,"New Season Added:September 17, 2016"
1044,People Just Do Nothing,tvshow,2018,TV-MA,5 Seasons,Spinning old-school beats is just another day at the office for the naive DJs of a pirate radio station who juggle family life with their passion.,"British TV Shows,TV Comedies","Allan Mustafa,Hugo Chegwin,Asim Chaudhry,Lily Brazier,Olivia Jasmine Edwards,Dan Sylvester,Steve Stamp,Ruth Bratt,George Keywood,Maria Louis",,United Kingdom,https://www.imdb.com/title/tt3762198/?ref_=plg_rt_1,"New Season Added:December 22, 2018"
1045,Perfume,tvshow,2018,TV-MA,1 Season,"When a singer is found murdered, with her scent glands excised from her body, detectives probe a group of friends who attended boarding school with her.","Crime TV Shows,International TV Shows,TV Dramas","Friederike Becht,August Diehl,Wotan Wilke Möhring,Natalia Belitski,Ken Duken,Trystan Pütter,Christian Friedel,Juergen Maurer,Marc Hosemann,Susanne Wuest",,Germany,https://www.imdb.com/title/tt6811236/?ref_=plg_rt_1,"Added to Netflix:December 21, 2018"
1046,Person of Interest,tvshow,2016,TV-14,5 Seasons,Ex-CIA agent John Reese and enigmatic billionaire Mr. Finch use software that can predict future events to prevent violent crimes before they occur.,"Crime TV Shows,TV Action & Adventure,TV Dramas","Jim Caviezel,Michael Emerson,Taraji P. Henson,Kevin Chapman,Sarah Shahi,Amy Acker",,United States,https://www.imdb.com/title/tt1839578/?ref_=plg_rt_1,"New Season Added:September 22, 2016"
1047,Persona,tvshow,2019,TV-MA,1 Season,An exploration of different personas in an eclectic collection of four works by critically acclaimed Korean directors.,"International TV Shows,Korean TV Shows,TV Dramas","Lee Ji-eun (IU),Bae Doona,Park Hae Soo,Kim Tae-hun,Shim Dal-gi,Lee Sung-wook,Jung Jun Won","Lee Kyoungmi,Yim Pilsung,Jeon Go-woon,Kim Jong-kwan",South Korea,https://www.imdb.com/title/tt10027990/?ref_=plg_rt_1,"Added to Netflix:April 11, 2019"
1048,Persona,tvshow,2015,TV-14,1 Season,A private investigation firm takes on sensitive cases while its uniquely skilled agents deal with issues both inside and out of the office.,"Crime TV Shows,International TV Shows,TV Dramas","Loo Aye Keng,Kyo,Jojo Goh,Fabian Loo,Emily Chan",,,,"Added to Netflix:August 14, 2017"
1049,PILI Fantasy: War of Dragons,tvshow,2019,TV-14,1 Season,"As turmoil looms in the Martial World, and the Eight Wonders of the Evil Dragon unleashes dark forces, who will emerge as the new warrior legend?","International TV Shows,TV Action & Adventure,TV Sci-Fi & Fantasy","Wang Hsi-hua,Lai Wei,Zhang Yu-quan,Chen Yu-kuan,Gao Ming-xiao,Tian Zhi-jie,Li Xiang-yu,Guo Ya-zhen,Zhan Yi-chun,Ye Yu-jia",,,,"Added to Netflix:July 12, 2019"
