,title,genres,year,originals,everything
977,Magi,"action-and-adventure,anime,animation,fantasy,science-fiction",2012,0,"This story is about the flow of fate and the battle to keep the world on the right path. Aladdin is a boy who has set out to explore the world after being trapped in a room for most of his life. His best friend is a flute with a djinn in it named Ugo. Soon enough, Aladdin discovers he is a Magi, a magician who chooses kings, and he was born to choose kings who will follow the righteous path, battling against those who want to destroy fate. Follow his adventures as he meets others from 1001 Arabian Nights, like Ali Baba and Sinbad, and fights to keep the balance of world in check! action-and-adventure,anime,animation,fantasy,science-fiction"
978,Magi: Adventure of Sinbad,"animation,action-and-adventure,fantasy",2016,1,"Thirty years before the events of Magi, a brave and  handsome young man named Sinbad set sail and started his adventure. The  future High King of Seven Seas gradually matured through various  encounters and farewells, taking him towards kingship step by step. animation,action-and-adventure,fantasy"
979,Magic for Humans,"reality,comedy",2018,1,"From baffling people on the street to orchestrating elaborate tricks, Justin Willman blends good-natured magic with grown-up laughs. reality,comedy"
980,Magmel of the Sea Blue,"action-and-adventure,anime,animation,fantasy",2019,0,"One day in the middle of the pacific ocean a miracle occurred, a new continent appeared out of nowhere! The new continent was the home for new and mysterious plants, creatures and minerals!Humanity is excited as the age of exploration has returned. action-and-adventure,anime,animation,fantasy"
981,Magnificent Century,"drama,action-and-adventure,biography,history,romance",2011,0,"Muhteşem Yüzyıl is a prime time historical Turkish television series. It was originally broadcast on Show TV and then transferred to Star TV. It is based on the life of Suleiman the Magnificent, the longest reigning Sultan of the Ottoman Empire, and his wife Hürrem Sultan, a slave girl who became a Sultan. drama,action-and-adventure,biography,history,romance"
982,Maharakshak Devi,fantasy,2015,0,Devi is the story of the most powerful girl in the world who is unaware of her extraordinary powers. She has spent the first 17 years of her life away from human civilization. Devi's ... fantasy
983,Mahi Way,comedy,2010,0,An overweight girl tries to find Mr.Right her way; Mahi's Way. comedy
984,Maid Sama!,"animation,anime,comedy,romance,drama",2010,0,"Misaki Ayuzawa is the first female student council president at a once all-boys school turned co-ed. She rules the school with strict discipline demeanor. But she has a secret—she works at a maid cafe due to her families circumstances. One day the popular A-student and notorious heart breaker Takumi Usui finds out her secret and makes a deal with her to keep it hush from the school in exchange for spending some time with him. animation,anime,comedy,romance,drama"
985,Making a Murderer,"documentary,crime",2015,1,"Filmed over 10 years, this real-life thriller follows a DNA exoneree who, while exposing police corruption, becomes a suspect in a grisly new crime. documentary,crime"
986,Mako Mermaids: An H2O Adventure,"drama,family,fantasy,action-and-adventure,comedy,romance,science-fiction",2013,1,"Real-life mermaids, Sirena, Nixie and Lyla are part of a mermaid pod, which lives in the waters of Mako Island. As young members of the pod, it is their job to protect the Moon Pool and guard it from trespassers. But on the night of a full moon, the mischievous mermaid girls neglect their duties. Sixteen-year-old land-dweller Zac enters the Moon Pool and forms a special connection with Mako. Zac is given a fish-like tail and amazing powers. The mermaid pod is forced to leave Mako, leaving behind the three mermaid girls, cast out of the pod. They know there's only one way they will be allowed to rejoin the pod: They must get legs, venture onto land and take back Zac's powers – or risk being outcasts forever. drama,family,fantasy,action-and-adventure,comedy,romance,science-fiction"
987,Malcolm in the Middle,"comedy,family",2000,0,"A gifted young teen tries to survive life with his dimwitted, dysfunctional family. comedy,family"
988,Malibu Rescue: The Series,"action-and-adventure,comedy",2019,1,"On the heels of Junior Rescue training, Team Flounder returns to brave the beach in a series of thrilling saves and lighthearted laughs. action-and-adventure,comedy"
989,Man Down,comedy,2013,0,"Dan is a childish idiot trapped in an adult’s life, whose world is at near collapse.His girlfriend Naomi is fast running out of patience with his inability to navigate the simplest of life tasks. He has two uniquely dysfunctional friends and a listless teaching career that sees him begrudgingly teach a version of the same lesson every day, inexplicably popular with all but one of the pupils, with his only highlight coming in the form of Miss Lipsey, a head mistress who views Dan with a mixture of pity and despair. To make matters worse, he is tormented daily by his willfully insane father, whose driving motivation in life seems to be to ensure his son is humiliated at every turn. comedy"
990,Manhunt,"crime,drama,mystery,thriller",2017,1,"Inspired by actual events, this true crime anthology series takes a deep dive into the dark, twisted minds of terrorists and follows the brave souls who hunt them down. crime,drama,mystery,thriller"
991,Maniac,"comedy,drama",2015,1,"The story of Espen, a man in his thirties who is loved by everyone. Every day is a party and there's no limit to what he experiences. We meet Espen in various situations where everything is amazing and whatever happens, Espen knows how to handle it. It is simply too good to be true. Espen has escaped into his own head and where his life is a fantastic fantasy world. In real life he is a patient at the psychiatric ward. What would you choose if you were in Espens situation - to be a fantasy hero or an everyday loser? comedy,drama"
992,Maniac_/show/maniac,"comedy,drama,science-fiction,fantasy",No info,0,"Two strangers are drawn to a mysterious pharmaceutical trial that will, they're assured, with no complications or side-effects whatsoever, solve all of their problems, permanently. Things do not go as planned. comedy,drama,science-fiction,fantasy"
993,Man Like Mobeen,comedy,2017,0,"Man Like Mobeen is a four-part series that welcomes you into the life of Mobeen Deen, a 28 year-old from Small Heath in Birmingham. All Mobeen wants to do is follow his faith, lead a good life, and make sure his younger sister fulfils her potential. But can he juggle these when his criminal past and reputation is always chasing him? comedy"
994,Man to Man,"action-and-adventure,drama,thriller,romance",2017,1,"From Kim Won Seok, the writer of Descendants of the Sun, a drama about a special bodyguard with a background in special investigations and the Hallyu star he is supposed to protect. action-and-adventure,drama,thriller,romance"
995,Maradona in Mexico,"documentary,sport",2019,1,"Maradona In Cinaloa Mexico as a coach documentary,sport"
996,Marcella,"crime,drama,mystery",2016,1,"Marcella is shocked to the core of her being when her husband Jason leaves her unexpectedly, confessing he no longer loves her. Heartbroken, Marcella returns to the Met’s Murder Squad. Ten years ago Marcella gave up her fast-tracked police career to marry and devote her life to her family. With the abrupt end to her marriage and isolated from her 13 year old daughter and 10 year old son, Marcella throws herself into work to stop herself from falling apart. crime,drama,mystery"
997,March Comes in Like a Lion,"animation,anime,comedy,drama",2016,0,"Rei is a 17-year old professional shōgi player, who lives by himself, not having a real family, and has scarcely any friends. Among his acquaintances is a family, which consists of a young woman, Akari, and two young girls, Hinata and Momo, and who also keep a numerous number of cats. animation,anime,comedy,drama"
998,Marching Orders,documentary,2018,1,"Regarded as the nations best, Bethune-Cookman University's marching band always has a lot at stake. In Stage 13 Original MARCHING ORDERS, meet the incoming class trying to keep the legacy alive and the seniors who make sure they do. Led by band director Donovan The Devil Wells, the Wildcats take it to the field every performance, risking college scholarships and national fame every time. documentary"
999,Marco Polo,"action-and-adventure,drama,history,thriller",2014,1,"An epic adventure that follows the early years of the famous explorer as he travels the exotic Silk Road to the great Kublai Khan’s court. But Marco soon finds that navigating the Khan’s world of greed, betrayal, sexual intrigue and rivalry will be his greatest challenge yet, even as he becomes a trusted companion to the Khan in his violent quest to become the Emperor of the World. action-and-adventure,drama,history,thriller"
1000,Marianne,"horror,mystery,drama",2019,1,"When a novelist realizes her terrifying stories are coming true, she returns to her hometown to face the demons from her past that inspire her writing. horror,mystery,drama"
1001,Marlon,"comedy,drama",2017,0,"A loving (but immature) father is committed to co-parenting his two kids with his very-together ex-wife. While his misguided fatherly advice, unstoppable larger-than-life personality and unpredictable Internet superstardom might get in the way sometimes, for Marlon, family really always does come first - even if he's the biggest kid of all. comedy,drama"
1002,Mars,"action-and-adventure,drama,science-fiction,documentary,fantasy",2016,0,"The maiden crew of the Daedalus spacecraft must push itself to the brink of human capability in order to successfully establish the first sustainable colony on Mars. Set both in the future and in the present day, this series blends scripted elements set in the future with documentary vérité interviews with today’s best and brightest minds in modern science and innovation, illuminating how research and development is creating the space technology that will enable our first attempt at a mission to Mars. action-and-adventure,drama,science-fiction,documentary,fantasy"
1003,Marseille,"drama,thriller",2016,1,"The longtime mayor of Marseille is preparing to hand over the reins to his protégé when a sudden and ruthless battle erupts for control of the city. drama,thriller"
1004,Martin Clunes: A Man and His Dogs,documentary,2008,0,Martin Clunes takes a wry look at why we are prepared to take the risk of sharing our homes with dogs who are genetically still 99.8 percent like wolves. This epic journey takes Martin to ... documentary
1005,Marvel's Agents of S.H.I.E.L.D.,"action-and-adventure,drama,fantasy,science-fiction,thriller",2013,0,"Agent Phil Coulson of S.H.I.E.L.D. (Strategic Homeland Intervention, Enforcement and Logistics Division) puts together a team of agents to investigate the new, the strange and the unknown around the globe, protecting the ordinary from the extraordinary. action-and-adventure,drama,fantasy,science-fiction,thriller"
1006,Marvel's Daredevil,"action-and-adventure,crime,drama,fantasy,science-fiction,thriller,mystery",2015,1,"Lawyer-by-day Matt Murdock uses his heightened senses from being blinded as a young boy to fight crime at night on the streets of Hell’s Kitchen as Daredevil. action-and-adventure,crime,drama,fantasy,science-fiction,thriller,mystery"
1007,Marvel's Iron Fist,"action-and-adventure,crime,fantasy,science-fiction,drama",2017,1,"Danny Rand resurfaces 15 years after being presumed dead. Now, with the power of the Iron Fist, he seeks to reclaim his past and fulfill his destiny. action-and-adventure,crime,fantasy,science-fiction,drama"
1008,Marvel's Jessica Jones,"action-and-adventure,crime,drama,science-fiction,thriller,fantasy",2015,1,"After a tragic ending to her short-lived super hero stint, Jessica Jones is rebuilding her personal life and career as a detective who gets pulled into cases involving people with extraordinary abilities in New York City. action-and-adventure,crime,drama,science-fiction,thriller,fantasy"
1009,Marvel's Luke Cage,"drama,action-and-adventure,crime,science-fiction,thriller,mystery,fantasy",2016,1,"Given superstrength and durability by a sabotaged experiment, a wrongly accused man escapes prison to become a superhero for hire. drama,action-and-adventure,crime,science-fiction,thriller,mystery,fantasy"
1010,Marvel's The Defenders,"action-and-adventure,crime,fantasy,science-fiction",2017,1,"Daredevil, Jessica Jones, Luke Cage and Iron Fist join forces to take on common enemies as a sinister conspiracy threatens New York City. action-and-adventure,crime,fantasy,science-fiction"
1011,Marvel's The Punisher,"action-and-adventure,crime,drama,science-fiction,thriller",2017,1,"A former Marine out to punish the criminals responsible for his family's murder finds himself ensnared in a military conspiracy. action-and-adventure,crime,drama,science-fiction,thriller"
1012,Mary Portas: Secret Shopper,reality,2011,0,Mary Portas works with well-known brands and high-street chains to give shoppers the service they deserve. Mary convinces major brands to bare all and hand over the reins - but will they take on her advice? reality
1013,Masha and the Bear,"animation,action-and-adventure,comedy,family,children",2009,0,"Masha is an energetic three-year-old who can’t seem to keep herself out of trouble. Bear is a warm, fatherly figure that does his best to guide his friend and keep her from harm, often ending up the unintended victim of her misadventures. animation,action-and-adventure,comedy,family,children"
1014,Masha's Spooky Stories,"animation,action-and-adventure,comedy",2014,0,"Masha explains why there's no need to be scared of things like monsters, the dark, going to a new school, thunder and other common childhood fears. animation,action-and-adventure,comedy"
1015,Masha's Tales,"animation,children",2016,0,"Fairy tales get a funny twist when Masha retells them, because she tends to get the details just a little jumbled up in this animated kids' series. animation,children"
1016,Master of None,"comedy,drama,romance",2015,1,"30-year-old New York actor Dev takes on such pillars of maturity as the first big job, a serious relationship, and busting sex offenders on the subway. comedy,drama,romance"
1017,Masum,"crime,drama,mystery,thriller,action-and-adventure",2017,0,"Cevdet, a retired commissioner, and his wife spend their pensions in peace on a farm away from the city. Suddenly the life of the family is destroyed by the sudden arrival of a terrible news from the little son. crime,drama,mystery,thriller,action-and-adventure"
1018,Max Steel,"action-and-adventure,animation,science-fiction",2013,0,"Max Steel is a science fiction–comedy, CGI–animated series. It is a re-imagining of its predecessor of the same name, as well as being based on the Mattel action-figure also of the same name. Max Steel premiered on March 25, 2013 on Disney XD. action-and-adventure,animation,science-fiction"
1019,Maya the Bee,"action-and-adventure,animation,comedy,children",2013,0,"Hello everyone, I'm Maya the Bee! What do I love? Freedom! That's why I live in the meadow instead of the hive. I have a thousand and one adventures with my friends: Shelby snail, Max the worm ... and of course Willy! Willy is very lazy and greedy ... But he's my best friend. Together, we go on an many adventures! Let's go! action-and-adventure,animation,comedy,children"
1020,MeatEater,"documentary,reality,sport",2012,0,"MeatEater is a non-fiction outdoors hunting television series in the United States first airing on The Sportsman Channel starring Steven Rinella for it's first 4 seasons. It was then taken on by Netflix for seasons 5-7.  An 8th season is planned. The show first aired on January 1, 2012 and is produced by Zero Point Zero Production. documentary,reality,sport"
1021,Medal of Honor,"action-and-adventure,documentary",2018,1,"Honoring service members whose courage merited the awarding of a Medal of Honor, this docudrama series re-creates their inspiring true stories. action-and-adventure,documentary"
1022,Medical Police,"comedy,action-and-adventure,crime",2020,1,"Doctors Owen Maestro and Lola Spratt leave Children's Hospital and join a secret arm of the CDC to investigate and destroy a deadly global virus. comedy,action-and-adventure,crime"
1023,Medici: Masters of Florence,"history,biography,drama,mystery,romance,thriller",2016,1,"The story of the Medici family of Florence, their ascent from simple merchants to power brokers sparking an economic and cultural revolution. Along the way, they also accrue a long list of powerful enemies. history,biography,drama,mystery,romance,thriller"
1024,Meet the Adebanjos,"comedy,family",2012,0,"Meet the Adebanjos is a family show about a family living in Peckham South London, consisting of Nigerian parents, British children and unwanted extended family.The show follows a larger than life Dad struggling to instill his old fashion African values in his Black British household. It is a clash of African traditional values versus British culture. With the mix of a radical Pentecostal pastor, a reggae loving tutor and a cousin who has just arrived from Nigeria how will Bayo cope and more importantly does he even stand a chance? comedy,family"
1025,Meet the Drug Lords: Inside the Real Narcos,"crime,documentary",2018,0,"Ex-Special Forces soldier Jason Fox used to hunt drug lords for a living. Now, he heads unarmed into the heart of Latin America's billion-dollar cartels. crime,documentary"
1026,Mega Builders,"reality,documentary",2010,0,"Capturing the biggest, most complex, most stressful and most dangerous engineering projects around the world, Megabuilders chronicles the most awe-inspiring construction projects in modern engineering. reality,documentary"
1027,Mega Food,documentary,2018,0,Take a tasty adventure across the world from behind the scenes of the biggest kitchens on the planet. documentary
1028,MEGALOBOX,"sport,anime,animation,action-and-adventure,science-fiction,drama",2018,0,"A desolate land stretches out from the city of poverty. A motorcycle speeds recklessly, blowing clouds of sand and dust. The rider is the protagonist of this story – he has neither a name nor a past. All he has is his ring name, “Junk Dog” and a technique for rigging MEGALOBOX matches with his pal Gansaku Nanbu, which they use to support their hand-to-mouth lives. JD is bored, resigned, and unfulfilled. Yuri has been the reigning champion of MEGALOBOX for the past few years. He has the skills and presence of a true champion. This is a story of JD and his rival, Yuri. sport,anime,animation,action-and-adventure,science-fiction,drama"
1029,MegaTruckers,reality,2012,0,"This mighty Mega Trucker has built a unique family business hauling some of the worlds largest and heaviest loads across the treacherous Australian terrain. Jon and his larger-than-life ...
» reality"
1030,Memories of the Alhambra,"drama,romance,science-fiction,thriller,action-and-adventure,mystery,fantasy",2018,1,"While looking for the cryptic creator of an innovative augmented-reality game, an investment firm executive meets a woman who runs a hostel in Spain. drama,romance,science-fiction,thriller,action-and-adventure,mystery,fantasy"
1031,Memory Love,"drama,romance",2017,0,"Can one life and two hearts be saved? Qiao Jia En and her boyfriend, Wang Xiu Kai, return to Taiwan from overseas to reunite with her estranged wealthy father. But when the couple gets into a car accident, Jia En suffers a concussion and memory loss while Shu Kai becomes brain dead. Jia En’s friend, Zhao Ai Li, takes advantage of the situation and takes Jia En’s place in meeting with Jia En’s father and assumes her place in a privileged life. Meanwhile, when pastry chef Xing Shao Tian collapses at a banquet, he needs an immediate heart transplant and ends up receiving Shu Kai’s heart. When Shao Tian fatefully meets Jia En, he is drawn to her. So is Shao Tian’s half-brother, Duan Ruo Fan. Can Shao Tian help Jia En regain her memory and her rightful place in life? drama,romance"
1032,Men on a Mission,No info,No info,0,"Male celebs play make-believe as high schoolers, welcoming star transfer students every week and engaging in battles of witty humor and slapstick. In this classroom, everyone becomes the same age. No books, no teachers. Just lots of foolin' around. No info"
1033,M'entends-tu?,"comedy,drama",2019,0,"-'M'entends-tu?' is a dramatic comedy that plunges us into the unusual daily life of Ada, Fabiola and Carolanne, three long-time friends from the midst of poverty. comedy,drama"
1034,"Mere Papa, Hero Hiralal",drama,2018,0,"Struggle of a widower auto drive to pursue the dream of adopted daughter with help of his few friends and family. Its a light hearted drama with lots of happy, sad, funny and thrilling moments. drama"
1035,Merlí,"comedy,lgbtq,drama,romance",2015,1,"TV series about a high school philosophy teacher, Merlí, who teaches in an original way, and about the students of his class, including his own son, and the relationship, friendship, love, and problems between the students of the class. comedy,lgbtq,drama,romance"
1036,Merlin,"action-and-adventure,fantasy,drama,science-fiction,animation,family",2008,0,"The unlikely friendship between Merlin, a young man gifted with extraordinary magical powers, and Prince Arthur, heir to the crown of Camelot. action-and-adventure,fantasy,drama,science-fiction,animation,family"
1037,Merry Happy Whatever,"comedy,drama,family",2019,1,"A strong-willed dad navigates the stress of the holiday season when his daughter brings her new boyfriend home for Christmas. comedy,drama,family"
1038,Messiah,"drama,thriller,mystery",2020,1,"A wary CIA officer investigates a charismatic man who sparks a spiritual movement and stirs political unrest. Who exactly is he? And what does he want? drama,thriller,mystery"
1039,Meteor Garden,"drama,romance,comedy,family",2018,1,"An ordinary girl is admitted to the most prestigious school in the country where she encounters F4, an exclusive group comprised of the four wealthiest and handsomest boys in the school - Dao Ming Si, Hua Ze Lei, Xi Men and Mei Zuo. drama,romance,comedy,family"
1040,Mia and Me,"animation,children,action-and-adventure,family,fantasy",2012,0,"Plunged into a fantastic fairy tale turned real, Mia must find the strength within herself to save a race of unicorns - and an entire world. animation,children,action-and-adventure,family,fantasy"
1041,Middleditch & Schwartz,comedy,2020,1,Comedy duo Thomas Middleditch and Ben Schwartz turn small ideas into epically funny stories in this series of completely improvised comedy specials. comedy
1042,Midnight Diner: Tokyo Stories,"drama,food",2016,1,"In a restaurant opening from midnight to 7AM, there is no menu but the chef cooks anything the customer wants. Each episode is about a different customer. drama,food"
1043,Mighty Little Bheem,"animation,children",2019,1,"An innocent toddler’s boundless curiosity -- and extraordinary might -- lead to mischief and adventure in his small Indian town. animation,children"
1044,Million Pound Menu,"game-show,reality,food",2018,1,"Participants try to convince a jury that their new restaurant ideas could work. game-show,reality,food"
1045,Million Yen Women,No info,2017,1,"Five beautiful but mysterious women move in with unsuccessful novelist Shin, who manages their odd household in exchange for a tidy monthly sum. When a lucrative offer arrives, he doesn't ask any questions. It's against the rules. And he's got his own dark past. No info"
1046,Mindhunter,"crime,drama,thriller",2017,1,"An agent in the FBI's Elite Serial Crime Unit develops profiling techniques as he pursues notorious serial killers and rapists. crime,drama,thriller"
1047,Minecraft: Story Mode,No info,2015,1,"Take control of an adventure set in the Minecraft universe. The future of the world is at stake, and your decisions shape the story -- so choose wisely! Your friends. Your choices. Your story. Decide the fate of the world in this epic, interactive adventure! No info"
1048,Miniforce,No info,No info,0,Four animal superheroes called the Miniforce transform into robots to protect small and defenseless creatures from the hands of scheming villains. No info
1049,Miniforce X,animation,2019,0,"Zenos who was once defeated by space cops, is not dead yet. Hundreds of years later, a space pirate gang DanDanDan (Kara, Dante, and Dancho) finds Zenos being confined in Asteroid Crete. ... animation"
1050,Mini Wolf,"animation,children",wolf,0,"Mini-Wolf and his fun-loving pals friends are always on the look out for a new adventure -- even if it includes a little bit of mischief. animation,children"
1051,Minute to Win It,game-show,2010,0,"Minute to Win It is an American primetime game show on GSN, hosted by Apolo Ohno, that formerly ran on NBC with host Guy Fieri. Contestants take part in a series of 60-second challenges that use objects that are commonly available around the house. The show premiered on NBC on March 14, 2010, airing the first two episodes back-to-back at 7:00 pm Eastern and Pacific. On October 6, 2010, Minute to Win It was awarded the C21/Frapa Award for Best studio based game show format at the MIPCOM Television Festival in France. A card game, board game, and video game versions for the Wii, Kinect and Nintendo DS have been made for this show. The U.S. season two finale aired on September 7, 2011. On May 13, 2012, NBC announced that the English version of the show would not be renewed for a third season.Minute to Win It currently airs new episodes on GSN Tuesday nights at 8/7c with reruns of the NBC version at various time on the network. The first season of GSN shows began in June 2013 with a 40-episode run.A Spanish language nightly version of the game show, titled Minuto para Ganar, debuted on MundoFox on the network's formal launch date of August 13, 2012, hosted by Marco Antonio Regil. game-show"
1052,Miraculous: Tales of Ladybug & Cat Noir,"animation,romance,action-and-adventure,family,fantasy,comedy,children,science-fiction",2015,0,"Normal high school kids by day, protectors of Paris by night! Miraculous follows the heroic adventures of Marinette and Adrien as they transform into Ladybug and Cat Noir and set out to capture akumas, creatures responsible for turning the people of Paris into villains. But neither hero knows the other’s true identity – or that they’re classmates! animation,romance,action-and-adventure,family,fantasy,comedy,children,science-fiction"
1053,Mischievous Kiss: Love in Tokyo,"comedy,drama,romance",2013,0,"At a high school entrance ceremony, high school student Kotoko Aihara, who isn't that smart, notices pretty boy Naoki Irie. She falls in love with him immediately. Kotoko initially doesn't express her feelings to him, but finally has a chance to tell him how she feels. Unfortunately, Naoki turns Kotoko down, saying ""I don't like dumb women."" One day, Kotoko Aihara's house is severely damaged by an earthquake. Until the house is rebuilt, Kotoko Aihara and her father decide to live with her father's friend. When Kotoko Aihara moves to her new temporary house, she is surprised to learn that Naoki Irie lives there as well. comedy,drama,romance"
1054,Miss Culinary,"comedy,romance",2019,0,"""Miss Culinary"" reveals the brilliance of a young man who tries to keep his girlfriend by telling delicious stories of his mother's recipes to win his girlfriend's heart back. With the story of his mother's life being sour, sweet, salty, spicy, it tells of a girl who ran away from her hometown in Uthai Thani province to face life in Bangkok in the 70s in order to fulfill her dream of being a chef at a 5-star hotel, along with love. comedy,romance"
1055,Miss Rose,"drama,comedy,romance",2012,0,"Luo Si Yi seeks out the obligatory services of Lily, a local fortune teller, but when she receives her fortune she’s unwilling to accept the mystical decree that she’s doomed to be a spinster for life. Si Yi wagers that she’ll get married within a year, and if she wins, Lily must pole dance at her wedding. But should Si Yi fail, she’ll truly make a fortune teller out of Lily: Si Yi will pay her one million dollars. Gussied up for the dating circuit, Si Yi soon finds she’s got a challenge in balancing romance with the demands of her boss Gao Cheng Kuan. Is Cheng Kuang just another cosmic obstacle for Si Yi to overcome, or a blessing in disguise? drama,comedy,romance"
1056,Mobile Suit Gundam: Iron-Blooded Orphans,"animation,anime,action-and-adventure,drama,science-fiction",2015,0,"The year is Post Disaster 323. More than 300 years after a great war between Earth and Mars known as the ""Calamity War"", Mars has been successfully terraformed and colonized by humans. However even with the technological advancements, the humans on Mars crave freedom against the government of Earth and seek to improve their livelihoods. Furthermore, while most of Mars' nations have received autonomy, the planet is virtually dependent on Earth for economic development. A young orphan named Mikazuki Augus is part of a group of children who work for the civilian security company Chryse Guard Security, entrusted with the safety of the Martian Princess Kudelia Aina Bernstein, who has plans for her nation of Chryse to secure independence from Earth. One day, the group was attacked by the Earth Military organization Gjallarhorn, which aims to stop the Martian independence movement. During the attack, the leader of the children and the Third Army Division within CGS, Orga Itsuka, decides to rebel against the adults and higher-ups who had escaped and left the children and foot-soldiers to remain and fight as decoys. Augus must now choose to either follow his friends, or his mission as he stumbles into the legendary mobile suit: the Gundam Barbatos. animation,anime,action-and-adventure,drama,science-fiction"
1057,Mob Psycho 100,"fantasy,science-fiction,thriller,action-and-adventure,comedy,mystery,drama",2018,1,"An inconspicuous middle school psychic confronts an organization plotting to use other psychics to rule the world. Based on the hit manga. fantasy,science-fiction,thriller,action-and-adventure,comedy,mystery,drama"
1058,Molang,"animation,action-and-adventure,family,children",2016,0,"Molang is an affectionate and humorous perspective on the relationship between an eccentric, joyful and enthusiastic rabbit, and a shy, discreet and emotional little chick. Despite their many differences, these two enjoy a unique friendship. They have great times together ranging from the mundane to the extraordinary. Whether they're flying to the moon or merely watering the vegetable patch, Molang and Piu Piu experience unexpected, even unsettling situations. Tricky incidents and misunderstandings are soon transformed into opportunities for fun moments and humor, which Molang's friends are happy to come and share in. animation,action-and-adventure,family,children"
1059,Momo Salon,"comedy,drama",2014,0,"An aspiring hair designer named Hye Ni and an unemployed candidate named Chang Gyoon have a chance meeting at the newly opened “Momo Salon!” comedy,drama"
1060,Monarca,drama,2019,1,"After 20 years, Ana María returns to Mexico and vies for control of her family's tequila empire as it threatens to crumble under corruption and secrets. drama"
1061,Money for Nothing,documentary,2015,0,"Based on the Book of the same title ""Money For Nothing"" is a history of the music video from the Beatles and Michael Jackson to Bruce Springsteen and Lady Gaga and everyone in between. documentary"
1062,Money Heist,"thriller,action-and-adventure,crime,mystery,drama",2017,1,"To carry out the biggest heist in history, a mysterious man called The Professor recruits a band of eight robbers who have a single characteristic: none of them has anything to lose. Five months of seclusion - memorizing every step, every detail, every probability - culminate in eleven days locked up in the National Coinage and Stamp Factory of Spain, surrounded by police forces and with dozens of hostages in their power, to find out whether their suicide wager will lead to everything or nothing. thriller,action-and-adventure,crime,mystery,drama"
1063,Monkart,"action-and-adventure,animation,children",No info,0,"Jin and his dragon monster Draka set out on a racing adventure and try to save the kingdom from evil forces. action-and-adventure,animation,children"
1064,Monkey Life,documentary,2007,0,"Series following the day-to-day lives of the monkeys, chimps, orangutans and apes that live in one of the largest primate rescue centre in the world, the Monkey World Ape Rescue Centre in Dorset. documentary"
1065,Monkey Planet,documentary,2014,0,"We humans are part of an extraordinary family, with hundreds of bizarre and colourful relatives all over the world. Monkey Planet explores the ingenious survival tactics and amazing physical adaptations of our primate family, including strange lemurs, acrobatic monkeys, and enigmatic apes. Spanning the globe, we uncover the secrets of an array of fascinating, flexible primate minds. documentary"
1066,Monkey Twins,"action-and-adventure,crime",2018,1,"Inspired by Khon dance drama and Thai martial arts, a fighter scarred by the past joins forces with a determined cop to battle an organized crime ring. action-and-adventure,crime"
1067,Monster Math Squad,"animation,children",2012,0,"Monster Math Squad stars MAX, LILY and GOO. The Squad love nothing better than to put their monster minds together and use their math skills to overcome any obstacle they face. animation,children"
1068,Monthly Girls' Nozaki-kun,"animation,anime,comedy,romance",2014,0,"High school student Chiyo Sakura has a crush on schoolmate Umetarō Nozaki, but when she confesses her love to him, he mistakes her for a fan and gives her an autograph. When she says that she always wants to be with him, he invites her to his house and has her help on some drawings. Chiyo discovers that Nozaki is actually a renowned shōjo manga artist named Sakiko Yumeno. She then agrees to be his assistant in order to get closer to him. As they work on his manga Let's Fall in Love (恋しよっ), they encounter other schoolmates who assist them or serve as inspirations for characters in the stories. animation,anime,comedy,romance"
1069,Monty Don's Italian Gardens,"travel,documentary",2011,0,"Monty Don conducts his personal 'grand garden tour' around Italy, including the retreats of the affluent north and horticultural gems of the south. travel,documentary"
1070,Monty Python: Almost the Truth (The Lawyer's Cut),"comedy,documentary",2009,0,"The story of Monty Python through brand new interviews with the Pythons: John Cleese, Terry Gilliam, Eric Idle, Terry Jones & Michael Palin and archive material from the late Graham Chapman. comedy,documentary"
1071,Monty Python's Best Bits (mostly),"documentary,comedy",2014,0,"This series is presented by self-confessed Python nut Hugh Bonneville, each show with a group of five famous comedians remembering their favourite Python moments. Each guest chooses a sketch (or two) and it's played with their comments.. documentary,comedy"
1072,Monty Python's Fliegender Zirkus,comedy,1972,0,"Monty Python's Fliegender Zirkus consisted of two 45-minute Monty Python German television comedy specials produced by WDR for West German television. The two episodes were first broadcast in January and December 1972 and were shot entirely on film and mostly on location in Bavaria, with the first episode recorded in German and the second recorded in English and then dubbed into German. comedy"
1073,Monty Python's Flying Circus,comedy,1969,0,"Monty Python’s Flying Circus is a British sketch comedy series created by the comedy group Monty Python and broadcast by the BBC from 1969 to 1974. The shows were composed of surreality, risqué or innuendo-laden humour, sight gags and observational sketches without punchlines. It also featured animations by Terry Gilliam, often sequenced or merged with live action. The first episode was recorded on 7 September and broadcast on 5 October 1969 on BBC One, with 45 episodes airing over four series from 1969 to 1974, plus two episodes for German TV.The show often targets the idiosyncrasies of British life, especially that of professionals, and is at times politically charged. The members of Monty Python were highly educated. Terry Jones and Michael Palin are Oxford University graduates; Eric Idle, John Cleese, and Graham Chapman attended Cambridge University; and American-born member Terry Gilliam is an Occidental College graduate. Their comedy is often pointedly intellectual, with numerous erudite references to philosophers and literary figures. The series followed and elaborated upon the style used by Spike Milligan in his ground breaking series Q5, rather than the traditional sketch show format. The team intended their humour to be impossible to categorise, and succeeded so completely that the adjective ""Pythonesque"" was invented to define it and, later, similar material. comedy"
1074,Monty Python's Personal Best,comedy,2006,0,A series of six outrageous one-hour specials showcasing the groundbreaking comedians. comedy
